experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,cal_x_pos,cal_y_pos,LX Pupil,LY Pupil,RX Pupil,RY Pupil,Scene Distance,Nonius Start,Discrepancy
FullExperiment,,1,1,1,1,,,-0.2,-0.2,,,,,,,
FullExperiment,,1,2,1,2,,,-0.2,-0.1,,,,,,,
FullExperiment,,1,3,1,3,,,-0.2,0,,,,,,,
FullExperiment,,1,4,1,4,,,-0.2,0.1,,,,,,,
FullExperiment,,1,5,1,5,,,-0.2,0.2,,,,,,,
FullExperiment,,1,6,1,6,,,-0.1,-0.2,,,,,,,
FullExperiment,,1,7,1,7,,,-0.1,-0.1,,,,,,,
FullExperiment,,1,8,1,8,,,-0.1,0,,,,,,,
FullExperiment,,1,9,1,9,,,-0.1,0.1,,,,,,,
FullExperiment,,1,10,1,10,,,-0.1,0.2,,,,,,,
FullExperiment,,1,11,1,11,,,0,-0.2,,,,,,,
FullExperiment,,1,12,1,12,,,0,-0.1,,,,,,,
FullExperiment,,1,13,1,13,,,0,0,,,,,,,
FullExperiment,,1,14,1,14,,,0,0.1,,,,,,,
FullExperiment,,1,15,1,15,,,0,0.2,,,,,,,
FullExperiment,,1,16,1,16,,,0.1,-0.2,,,,,,,
FullExperiment,,1,17,1,17,,,0.1,-0.1,,,,,,,
FullExperiment,,1,18,1,18,,,0.1,0,,,,,,,
FullExperiment,,1,19,1,19,,,0.1,0.1,,,,,,,
FullExperiment,,1,20,1,20,,,0.1,0.2,,,,,,,
FullExperiment,,1,21,1,21,,,0.2,-0.2,,,,,,,
FullExperiment,,1,22,1,22,,,0.2,-0.1,,,,,,,
FullExperiment,,1,23,1,23,,,0.2,0,,,,,,,
FullExperiment,,1,24,1,24,,,0.2,0.1,,,,,,,
FullExperiment,,1,25,1,25,,,0.2,0.2,,,,,,,
FullExperiment,,1,26,2,1,,,-0.2,-0.2,,,,,,,
FullExperiment,,1,27,2,2,,,-0.2,-0.1,,,,,,,
FullExperiment,,1,28,2,3,,,-0.2,0,,,,,,,
FullExperiment,,1,29,2,4,,,-0.2,0.1,,,,,,,
FullExperiment,,1,30,2,5,,,-0.2,0.2,,,,,,,
FullExperiment,,1,31,2,6,,,-0.1,-0.2,,,,,,,
FullExperiment,,1,32,2,7,,,-0.1,-0.1,,,,,,,
FullExperiment,,1,33,2,8,,,-0.1,0,,,,,,,
FullExperiment,,1,34,2,9,,,-0.1,0.1,,,,,,,
FullExperiment,,1,35,2,10,,,-0.1,0.2,,,,,,,
FullExperiment,,1,36,2,11,,,0,-0.2,,,,,,,
FullExperiment,,1,37,2,12,,,0,-0.1,,,,,,,
FullExperiment,,1,38,2,13,,,0,0,,,,,,,
FullExperiment,,1,39,2,14,,,0,0.1,,,,,,,
FullExperiment,,1,40,2,15,,,0,0.2,,,,,,,
FullExperiment,,1,41,2,16,,,0.1,-0.2,,,,,,,
FullExperiment,,1,42,2,17,,,0.1,-0.1,,,,,,,
FullExperiment,,1,43,2,18,,,0.1,0,,,,,,,
FullExperiment,,1,44,2,19,,,0.1,0.1,,,,,,,
FullExperiment,,1,45,2,20,,,0.1,0.2,,,,,,,
FullExperiment,,1,46,2,21,,,0.2,-0.2,,,,,,,
FullExperiment,,1,47,2,22,,,0.2,-0.1,,,,,,,
FullExperiment,,1,48,2,23,,,0.2,0,,,,,,,
FullExperiment,,1,49,2,24,,,0.2,0.1,,,,,,,
FullExperiment,,1,50,2,25,,,0.2,0.2,,,,,,,
FullExperiment,,1,51,3,1,,,,,,,,,0.4,0.25,
FullExperiment,,1,52,3,2,,,,,,,,,0.5,0.25,
FullExperiment,,1,53,3,3,,,,,,,,,0.6,0.25,
FullExperiment,,1,54,3,4,,,,,,,,,0.7,0.25,
FullExperiment,,1,55,3,5,,,,,,,,,0.8,0.25,
FullExperiment,,1,56,3,6,,,,,,,,,0.9,0.25,
FullExperiment,,1,57,3,7,,,,,,,,,1,0.25,
FullExperiment,,1,58,4,1,,,,,,,,,0.3,0.25,
FullExperiment,,1,59,4,2,,,,,,,,,0.8,0.25,
FullExperiment,,1,60,4,3,,,,,,,,,0.5,0.25,
FullExperiment,,1,61,4,4,,,,,,,,,0.4,0.25,
FullExperiment,,1,62,4,5,,,,,,,,,0.5,0.25,
FullExperiment,,1,63,4,6,,,,,,,,,0.8,0.25,
FullExperiment,,1,64,4,7,,,,,,,,,0.3,0.25,
